timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 23:09:03.903, 0, 230.50 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:03.919, 1, 227.81 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:03.924, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:03.928, 3, 226.70 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:04.932, 0, 230.54 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:04.932, 1, 227.82 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:04.932, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:04.933, 3, 226.67 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:05.933, 0, 231.63 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:05.933, 1, 228.87 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:05.933, 2, 226.21 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:05.933, 3, 226.58 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:06.933, 0, 231.49 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:06.933, 1, 229.81 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:06.933, 2, 226.21 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:06.933, 3, 226.60 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:07.933, 0, 231.38 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
