timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 23:16:55.820, 0, 228.06 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:55.827, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:55.830, 2, 221.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:55.832, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:56.835, 0, 228.57 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:56.835, 1, 226.36 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:56.835, 2, 221.71 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:56.835, 3, 226.04 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:57.835, 0, 228.34 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:57.836, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:57.836, 2, 221.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:57.836, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:58.836, 0, 227.91 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:58.836, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:58.836, 2, 221.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:58.836, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:59.836, 0, 227.88 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:59.836, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:59.836, 2, 221.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:16:59.836, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:00.836, 0, 227.44 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:00.836, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:00.836, 2, 221.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:00.836, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:01.836, 0, 228.06 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:01.836, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:01.836, 2, 221.80 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:01.836, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:02.837, 0, 232.17 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:02.837, 1, 227.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:02.837, 2, 224.98 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:02.837, 3, 227.64 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:03.837, 0, 229.57 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:03.837, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:03.837, 2, 221.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:03.837, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:04.837, 0, 229.16 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:04.837, 1, 226.36 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:04.837, 2, 221.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:04.837, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:05.837, 0, 229.03 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:05.837, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:05.837, 2, 221.64 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:05.837, 3, 225.98 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:06.838, 0, 228.88 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:06.838, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:06.838, 2, 221.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:06.838, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:07.838, 0, 229.00 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:07.838, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:07.838, 2, 221.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:07.838, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:08.838, 0, 228.57 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
