timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 20:51:53.957, 0, 231.52 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:53.965, 1, 229.73 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:53.968, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:53.971, 3, 226.68 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:54.974, 0, 232.48 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:54.975, 1, 229.88 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:54.975, 2, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:54.975, 3, 226.65 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:55.975, 0, 232.38 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:55.975, 1, 229.80 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:55.975, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:55.975, 3, 226.62 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:56.975, 0, 233.83 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:56.975, 1, 230.27 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:56.975, 2, 227.35 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:56.975, 3, 226.68 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:57.975, 0, 236.19 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:57.975, 1, 231.23 W, 34, 2070 MHz, 3996 MHz, 5 %, 2 %
2026/06/07 20:51:57.975, 2, 229.07 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:57.975, 3, 229.56 W, 34, 2070 MHz, 3996 MHz, 2 %, 1 %
2026/06/07 20:51:58.976, 0, 312.85 W, 35, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:51:58.976, 1, 309.58 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:58.976, 2, 309.84 W, 35, 2070 MHz, 3996 MHz, 59 %, 21 %
2026/06/07 20:51:58.976, 3, 303.93 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:59.976, 0, 234.38 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:59.976, 1, 230.04 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:59.976, 2, 228.72 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:51:59.976, 3, 226.90 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:00.976, 0, 262.86 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:00.976, 1, 261.36 W, 36, 2070 MHz, 3996 MHz, 46 %, 13 %
2026/06/07 20:52:00.976, 2, 259.89 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:00.976, 3, 266.85 W, 36, 2070 MHz, 3996 MHz, 99 %, 13 %
2026/06/07 20:52:01.976, 0, 437.41 W, 36, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:01.976, 1, 435.59 W, 37, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:01.976, 2, 430.39 W, 36, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:01.976, 3, 428.28 W, 37, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:02.977, 0, 354.05 W, 36, 2070 MHz, 3996 MHz, 69 %, 11 %
2026/06/07 20:52:02.977, 1, 350.61 W, 36, 2070 MHz, 3996 MHz, 57 %, 11 %
2026/06/07 20:52:02.977, 2, 349.77 W, 36, 2070 MHz, 3996 MHz, 47 %, 8 %
2026/06/07 20:52:02.977, 3, 349.45 W, 37, 2070 MHz, 3996 MHz, 34 %, 11 %
2026/06/07 20:52:03.977, 0, 408.74 W, 37, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:03.977, 1, 402.87 W, 36, 2070 MHz, 3996 MHz, 72 %, 17 %
2026/06/07 20:52:03.977, 2, 394.96 W, 37, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:03.977, 3, 390.15 W, 36, 2070 MHz, 3996 MHz, 55 %, 13 %
2026/06/07 20:52:04.977, 0, 344.56 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:04.977, 1, 338.70 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:04.977, 2, 338.09 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:04.977, 3, 333.13 W, 35, 2070 MHz, 3996 MHz, 29 %, 0 %
2026/06/07 20:52:05.977, 0, 392.04 W, 37, 2070 MHz, 3996 MHz, 92 %, 16 %
2026/06/07 20:52:05.977, 1, 389.93 W, 37, 2070 MHz, 3996 MHz, 99 %, 12 %
2026/06/07 20:52:05.977, 2, 399.32 W, 37, 2070 MHz, 3996 MHz, 90 %, 13 %
2026/06/07 20:52:05.977, 3, 393.47 W, 38, 2070 MHz, 3996 MHz, 37 %, 12 %
2026/06/07 20:52:06.978, 0, 443.93 W, 37, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:06.978, 1, 438.45 W, 37, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:06.978, 2, 436.98 W, 37, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:06.978, 3, 435.83 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:07.978, 0, 442.95 W, 37, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:07.978, 1, 439.51 W, 37, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:07.978, 2, 433.99 W, 37, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:07.978, 3, 435.57 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:08.978, 0, 446.67 W, 37, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:08.978, 1, 443.35 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:08.978, 2, 439.55 W, 37, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:08.978, 3, 438.01 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:09.978, 0, 442.43 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:09.978, 1, 439.25 W, 38, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:09.978, 2, 436.71 W, 37, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:09.978, 3, 434.21 W, 38, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:10.979, 0, 446.91 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:10.979, 1, 443.54 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:10.979, 2, 439.04 W, 37, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:10.979, 3, 439.98 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:11.979, 0, 441.47 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:11.979, 1, 439.09 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:11.979, 2, 433.47 W, 37, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:11.979, 3, 431.70 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:12.979, 0, 446.57 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:12.979, 1, 444.23 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:12.979, 2, 437.83 W, 37, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:12.979, 3, 437.62 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:13.979, 0, 443.42 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:13.979, 1, 440.60 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:13.979, 2, 436.75 W, 37, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:13.979, 3, 437.27 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:14.980, 0, 445.48 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:14.980, 1, 441.68 W, 38, 2070 MHz, 3996 MHz, 99 %, 19 %
2026/06/07 20:52:14.980, 2, 437.27 W, 37, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:14.980, 3, 438.84 W, 38, 2070 MHz, 3996 MHz, 99 %, 19 %
2026/06/07 20:52:15.980, 0, 444.60 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:15.980, 1, 446.65 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:15.980, 2, 439.56 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:15.980, 3, 439.04 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:16.980, 0, 443.04 W, 38, 2070 MHz, 3996 MHz, 99 %, 19 %
2026/06/07 20:52:16.980, 1, 440.05 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:16.980, 2, 434.79 W, 37, 2070 MHz, 3996 MHz, 99 %, 19 %
2026/06/07 20:52:16.980, 3, 434.31 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:17.980, 0, 448.72 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:17.980, 1, 444.47 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:17.980, 2, 440.61 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:17.980, 3, 441.03 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:18.981, 0, 445.04 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:18.981, 1, 442.73 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:18.981, 2, 437.29 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:18.981, 3, 439.15 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:19.981, 0, 449.08 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:19.981, 1, 445.10 W, 38, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:19.981, 2, 439.52 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:19.981, 3, 440.29 W, 38, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:20.981, 0, 442.35 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:20.981, 1, 442.37 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:20.981, 2, 436.31 W, 37, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:20.981, 3, 435.27 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:21.981, 0, 448.74 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:21.981, 1, 445.94 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:21.981, 2, 442.10 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:21.981, 3, 439.61 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:22.981, 0, 444.96 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:22.982, 1, 442.93 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:22.982, 2, 438.45 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
