timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 20:52:53.174, 0, 230.34 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:53.188, 1, 225.26 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:53.193, 2, 229.97 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:53.197, 3, 230.20 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:54.201, 0, 230.32 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:54.201, 1, 225.48 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:54.201, 2, 229.96 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:54.201, 3, 230.20 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:55.201, 0, 230.33 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:55.201, 1, 225.84 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:55.201, 2, 230.06 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:55.201, 3, 230.54 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:56.201, 0, 230.34 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:56.202, 1, 225.95 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:56.202, 2, 230.02 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:56.202, 3, 230.24 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:57.202, 0, 230.34 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:57.202, 1, 225.80 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:57.202, 2, 229.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:57.202, 3, 230.24 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:58.202, 0, 230.34 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:58.202, 1, 225.56 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:58.202, 2, 230.02 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:58.202, 3, 230.24 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:59.202, 0, 230.33 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:59.202, 1, 225.32 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:59.202, 2, 230.02 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:59.202, 3, 230.25 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:00.202, 0, 230.31 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:00.202, 1, 225.76 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:00.202, 2, 230.01 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:00.202, 3, 230.26 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:01.202, 0, 274.32 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:01.203, 1, 271.30 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:01.203, 2, 274.37 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:01.203, 3, 277.10 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:02.203, 0, 230.33 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:02.203, 1, 226.15 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:02.203, 2, 229.94 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:02.203, 3, 230.57 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:03.203, 0, 230.33 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:03.203, 1, 226.15 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:03.203, 2, 229.93 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:03.203, 3, 230.35 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:04.203, 0, 230.31 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:04.203, 1, 226.14 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:04.203, 2, 229.90 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:04.203, 3, 230.42 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:05.203, 0, 230.33 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:05.203, 1, 226.07 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:05.204, 2, 229.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:05.204, 3, 230.37 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:06.204, 0, 230.30 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:06.204, 1, 226.06 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:06.204, 2, 230.03 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:06.204, 3, 230.27 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:07.204, 0, 230.33 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:07.204, 1, 226.11 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:07.204, 2, 229.96 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:07.204, 3, 230.29 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:08.204, 0, 230.34 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:08.204, 1, 225.92 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:08.204, 2, 229.97 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:08.204, 3, 230.20 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:09.204, 0, 230.33 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:09.204, 1, 225.62 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:09.204, 2, 229.96 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:09.204, 3, 230.21 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:10.205, 0, 230.31 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:10.205, 1, 225.46 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:10.205, 2, 229.97 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:10.205, 3, 230.22 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:11.205, 0, 421.14 W, 36, 2070 MHz, 3996 MHz, 78 %, 25 %
2026/06/07 20:53:11.205, 1, 417.03 W, 37, 2070 MHz, 3996 MHz, 45 %, 14 %
2026/06/07 20:53:11.205, 2, 416.41 W, 36, 2070 MHz, 3996 MHz, 46 %, 15 %
2026/06/07 20:53:11.205, 3, 419.02 W, 37, 2070 MHz, 3996 MHz, 100 %, 32 %
2026/06/07 20:53:12.205, 0, 462.31 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:12.205, 1, 456.30 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:12.205, 2, 452.84 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:12.205, 3, 465.02 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
